
Query: NC_003911.12 Ruegeria pomeroyi DSS-3, complete genome	DB: RefSeq	Seqs: 1 	Bases: 4109437	gSize: 4053604	SketchLen: 10655
WKID	KID	Score	Matches	Unique	TaxID
100.00%	89.57%	9392	9910	8773	246200
0.59%	0.55%	31.77	60	0	439496
0.52%	0.49%	30.21	52	1	1415756
0.65%	0.58%	28.78	64	0	999547
0.46%	0.45%	27.35	48	2	1470562
0.47%	0.44%	24.64	48	0	467661
0.58%	0.45%	23.59	52	0	988812
0.40%	0.36%	22.47	38	0	89187
0.39%	0.38%	22.22	41	1	1569354
0.38%	0.36%	22.06	38	0	1469613
0.36%	0.36%	21.15	38	0	1609966
0.49%	0.43%	21.07	48	0	1121479
0.48%	0.42%	20.65	47	0	1685382
0.48%	0.42%	20.59	47	0	1200284
0.34%	0.33%	20.06	35	1	1912092
0.33%	0.28%	18.31	30	1	1411903
0.44%	0.37%	18.27	42	0	1849168
0.34%	0.27%	18.18	29	0	1267768
0.33%	0.28%	18.10	30	0	1294273
0.44%	0.35%	17.61	40	0	1250539

Query: NC_005072.1 Prochlorococcus marinus MED4 complete genome	DB: RefSeq	Seqs: 1 	Bases: 1657990	gSize: 1635335	SketchLen: 7845
WKID	KID	Score	Matches	Unique	TaxID
100.00%	100.00%	8182	7845	7	59919
0.81%	0.04%	5.694	3	0	36881
0.42%	0.04%	4.094	3	0	35128
0.14%	0.09%	4.014	8	0	59931
0.08%	0.05%	2.162	4	0	39717


